name,url,distinction,reservation_link,description_en,postal_code,region,locality,lat,lon,price_lvl,genre
わたべ／Watabe,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/watabe,ビブグルマン：価格以上の満足感が得られる料理,,川魚や貝の商いをしていた「わたべ」。今は兄弟が受け継ぎ三代続くうなぎ屋になった。鰻は茶葉と蒸してやわらかな食感に仕上げ、伝統に新たな工夫を加え独自性を打ち出す。斜向かいには「こんにゃくえんま」で有名な源覚寺があり、「えんま重」は白焼きと蒲焼きの両方が楽しめるお重となっている。,112-0002,東京,東京,35.711314,139.752119,¥¥,うなぎ
キノシタ／Kinoshita,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kinoshita-1197753,ビブグルマン：価格以上の満足感が得られる料理,https://www.tablecheck.com/ja/restaurantkinoshita/reserve?utm_source=michelin_guide,豚のゼリー寄せ、スープドポワソン、牛肉の赤ワイン煮込み。クラシカルなフランス料理をリスペクトするシェフは、心が温まる料理でありたいと願う。普遍的なスタイルを貫きながらも個性を求め、日々磨きをかけてきた。レストランと共に成熟してきたブルゴーニュワインは、飲み頃を迎えている銘柄が揃う。,151-0053,東京,東京,35.681813,139.69341,¥¥,フランス料理
デンクシフロリ／DEN KUSHI FLORI,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/den-kushi-flori,,https://www.tablecheck.com/shops/denkushiflori/reserve?utm_source=michelin_guide,創作和食「傳」とモダンフレンチ「フロリレージュ」の合作。デンとフロリをクシで繋ぐ。クシをキーワードとしながらも串料理の店ではない。二人の経験と友情を繋ぐ役目を意味する。天ぷらとシェリー、鮎とフランなど和洋が融合。同じ料理を創らず常に進化させる。新たな試みと食の楽しさを世界へ発信。,150-0001,東京,東京,35.663924,139.708933,¥¥¥,現代風料理
ナベノ-イズム／Nabeno-Ism,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nabeno-ism,1つ星：高品質な料理,,黒、白、オレンジは渡辺色のトリコロール。黒は染まらない信念、白は何色にも変わる自由さ、オレンジは火を扱う料理人を表す。掲げるのはフランス料理と江戸食文化の融合。蕎麦がきはフレンチの技法で乳化させ、雷おこしや最中といった地域の素材を取り入れる。“渡辺のイズム”は浅草駒形に根差す。,111-0043,東京,東京,35.706847,139.795384,¥¥¥¥,フランス料理
ダぺピ／DA PEPI,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/da-pepi,,,蔦に覆われたファサードが目印。品書きにはシェフが魅了されるトスカーナ料理が並ぶ。トマトソースのパスタ「フーモ」は現地で教わった。キッチンから届くオリーブオイルとニンニクの香り、一皿を取り分ける食卓にイタリアの日常を映す。コースは即興によるサプライズ。家に招かれたような楽しさがある。,112-0011,東京,東京,35.730294,139.73945,¥¥,イタリア料理
立喰 鮨となり／Tachigui Sushi Tonari,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tachigui-sushi-tonari,ビブグルマン：価格以上の満足感が得られる料理,,本店の隣にある「鮨となり」。小体な空間と回転率の高さ、若手職人の経験の場とするため手軽さが実現できる。お好み一貫だけでもという気軽さも嬉しい。すしの主題は「酸と脂」。米酢の利いた酢飯と魚の脂で調和を図る。予約も注文も会計もデジタル。江戸文化の立ち食いは現代版にアップデートされた。,106-0045,東京,東京,35.655547,139.734852,¥¥,寿司
茂幸／Shigeyuki,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shigeyuki,1つ星：高品質な料理,,“見て驚き、味わって安心”。茂幸ならではの料理を志し創作意欲を燃やす。造りは焼霜、湯霜にするなど、熱を通して水分を抜く。椀物を供さないのは、だしを合わせる料理が多いため。自由奔放な個性が楽しい。民藝調の店内は祖父母から譲り受けた古箪笥の意匠が懐かしく、家庭の温もりに包まれている。,151-0066,東京,東京,35.673129,139.67875,¥¥¥,日本料理
天ぷら やぐち／Tempura Yaguchi,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-yaguchi,1つ星：高品質な料理,,一冊の料理雑誌が天ぷら職人の道へ導いた。谷口一樹は師匠の下で長年修業し、料理哲学を受け継ぎながらも自分らしさを表す。高温の油で揚げつつも、綿実油の割合を高めたり、野菜を多く取り入れたり。纏った衣を香ばしく揚げ、その作用で種を生かす。うにを大葉で包むのも限りなく熱を入れないため。,103-0013,東京,東京,35.686176,139.784022,¥¥¥¥,天ぷら
エスト／est,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/est,1つ星：高品質な料理,https://omakase.in/r/rd523751?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,ホテル最上階のダイニングから見渡す眺めは壮観。モダンなガラス張りキッチンで料理人たちが躍動する。ギヨーム・ブラカヴァルは、和の食材や文化からインスピレーションを得たコンテンポラリーフレンチを表現。食材の産地を示した日本地図が豊かな風土を物語る。現代アートに着想したデザートも華やか。,100-0004,東京,東京,35.688162,139.763396,¥¥¥¥,"フランス料理, 現代風料理"
ラ ターブル ドゥ ジョエル・ロブション／LA TABLE de Joël Robuchon,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-table-de-joel-robuchon,1つ星：高品質な料理,https://www.tablecheck.com/shops/robuchon-latable/reserve?utm_source=michelin_guide,フランス様式の城館に設えた黒とラベンダー色のダイニング。“懇親性”をテーマにロブションの料理をカジュアルに味わえる。メニューには季節のスペシャリテや現代風の郷土料理など。仕立てはシンプルモダン。行き届いたサービスが雰囲気をやわらげ、料理から会話が生まれる。美食の楽しさを体感したい。,153-0062,東京,東京,35.641907,139.714544,¥¥¥,"フランス料理, 現代風料理"
ラ ペ／La Paix,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-paix-1194221,1つ星：高品質な料理,https://omakaseje.com/r/pv201105?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,「ラ ペ」を支える五つのフィロソフィー。日本、調和、心、繋がり、五感を料理に込める。和の要素を感じさせるのは“日本から発信するフランス料理”を掲げるため。和歌山県出身であることから紀州梅のバターを仕込む。韃靼蕎麦のブランマンジェも独特。新旧の文化が交わる日本橋で和仏の融合を目指す。,103-0022,東京,東京,35.685136,139.775586,¥¥¥,フランス料理
プリズマ／PRISMA,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/prisma-1194160,2つ星：優れた料理,https://omakase.in/ja/r/jo904865?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,進化を止めず常に高みを目指す料理人、斎藤智史。キャビアと赤ワインソースのタリオリーニは名物。キャビアの塩分濃度を調整するため自ら仕込む。食材やソースの組み合わせも時折変え常に理想を追う。メニューは市場で食材を手にして考案。典子夫人が毎日手書きし、シェフの情熱を届けてくれる。,107-0062,東京,東京,35.661579,139.716582,¥¥¥¥,イタリア料理
カナデ／canade,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/canade,,,棚に飾られたピノキオ人形は、池田夫妻のイタリアでの思い出。シェフは料理、妻はワインを現地で学んだ。マカッレ風リゾットは農家の素朴な料理を上品な味付けに。この店のために育てられた十勝の経産牛は藁で香りを付ける。店名が意味するように、二人の料理とワインがハーモニーを“奏でる”。,113-0033,東京,東京,35.705197,139.758345,¥¥¥,イタリア料理
分とく山／Waketokuyama,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/waketokuyama,1つ星：高品質な料理,https://omakaseje.com/restaurants/wk885579?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,「分とく山」を立ち上げた重鎮の意志を継ぎ、新料理長が若手を束ねる。客本位の方針や料理の流れは従来どおり。真の旬を伝えるのと、いつ来客しても内容が重ならないようにと、十日以内で献立を変える。その引き出しの多さ、手の込んだ創意に驚く。七十二候を基に自然の摂理に従い多くの恵みを味わえる。,106-0047,東京,東京,35.655748,139.723292,¥¥¥,日本料理
由庵 矢もり／Yuan Yamori,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yuan-yamori,,,蕎麦の魅力を存分に味わえるおまかせ。数台の石臼を用意し異なる蕎麦粉を仕込む徹底ぶり。挽きたての粉で練る蕎麦掻き。状態を見計らい熱が入らぬように、慎重かつ丁寧にゆっくり挽く。汁と海苔の香り豊かな花巻蕎麦、もり蕎麦は純粋な香りを感じてほしいと手渡し。蕎麦は香り、手繰る意味も再認識。,104-0052,東京,東京,35.663125,139.781472,¥¥¥,蕎麦
鮨 はしもと／Sushi Hashimoto,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-hashimoto,1つ星：高品質な料理,https://omakase.in/r/gw622283?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,藁で燻した鰆には山葵と辛子をあてて、味に深みを付ける。幅広く引いた鮪は包み込むように握り、山葵は多め、酢飯の温度は高め、脂の甘みをとろけさせる。大振りのすしは、好みを伝えれば合わせてくれる。昼は一見客を積極的に迎えすしの魅力を伝えている。修業先にはない、すし屋本来の姿がある。,104-0041,東京,東京,35.673,139.774495,¥¥¥¥,寿司
燗コーヒー 藤々／Kan Coffee Fujifuji,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kan-coffee-fujifuji,,,主人と女将が営む小さな居酒屋。荒木町の風景に昔懐かしい酒場の趣が溶け込む。二人は生産者と親交を深めに産地と酒蔵へ赴く。職人肌の主人は椀物や西京焼など手の込んだ品から酒肴まで、料理に徹する。女将は日本酒の燗番を担い、食後は前職を生かしコーヒーを淹れてくれる。興味深い店名に納得だ。,160-0007,東京,東京,35.68952,139.722653,¥¥,居酒屋
玉笑／Tamawarai,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tamawarai,,,蕎麦のおいしさは粉で決まるというのが持論。自家栽培と茨城の農家が育てた玄蕎麦を挽き風味を逃さない。粗挽きせいろは野性味にあふれた一枚。賄い料理から生まれた豆腐蕎麦や、卵を溶いた熱いつゆで食す熱もりせいろなど個性ある一品も。夜は蕎麦掻きや玉子焼といった蕎麦前を楽しむコースのみ。,150-0001,東京,東京,35.664462,139.70467,¥¥¥,蕎麦
ラミティエ／L'AMITIE,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-amitie-1194223,ビブグルマン：価格以上の満足感が得られる料理,,シェフはパリで修業したビストロの活気に魅了された。フランスの日常に溶け込むような、小さな食堂として高田馬場に根差す。田舎風肉のテリーヌ、カスレ、牛頬肉の赤ワイン煮。アラカルトは、一皿二人前の量があるためシェアして楽しみたい。料理からフランスの食文化と共に地方色も体感したい。,169-0075,東京,東京,35.712099,139.707969,¥¥,フランス料理
ベージュ アラン・デュカス／BEIGE Alain Ducasse,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/beige-alain-ducasse,1つ星：高品質な料理,https://www.tablecheck.com/shops/beige-tokyo/reserve?utm_source=michelin_guide,世界の料理界を牽引してきた巨匠のレストラン。いち早く野菜と穀物を多く取り入れ、脂質と糖質を控えて時代を読んできた。そのため味わいも食後感も軽い。食を通してアール・ド・ヴィーヴルという暮らしの芸術を唱える。ベージュの内装、ジャガード柄、ココ・シャネルゆかりのデザインにもエレガンスが漂う。,104-0061,東京,東京,35.67308,139.766511,¥¥¥,フランス料理
レイ／REI,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/rei,ビブグルマン：価格以上の満足感が得られる料理,,店名は黎明期にちなむ。モノトーンな空間、食中にワイン、発信するのは大衆中華の新しいかたち。品書きには、麻婆豆腐、よだれ鶏、海老チリと馴染み深い料理が並ぶ。シェフは自家製調味料や季節食材でアレンジ。春キャベツの回鍋肉、夏野菜や冬の根菜の酢豚など、独自の感性で町中華を洗練させる。,151-0062,東京,東京,35.670208,139.684517,¥¥,中国料理
日本橋 蕎ノ字／Nihombashi Sonoji,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nihombashi-sonoji,1つ星：高品質な料理,,静岡出身の鈴木利幸が天ぷらと蕎麦のルーツを追う。ここ日本橋に店を構えたのは、二つの食が開花した場所だから。屋号に冠する地名に憧憬の念が表れる。天ぷらの合間に蕎麦掻き、締めに蕎麦を供す。地元の鮮魚店や農家から直送される駿河の幸が自慢。日本の誇りである富士山が折敷に描かれる。,103-0013,東京,東京,35.6862411,139.7845372,¥¥¥¥,天ぷら
ファロ／FARO,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/faro-1194154,1つ星：高品質な料理,https://www.tablecheck.com/shops/shiseido-faro/reserve?utm_source=michelin_guide,日本の豊かな食材と文化がクリエイティブな料理を支える。スタッフは全国を巡り、農と食を繋ぐ。ヴィーガンは新たなライフスタイルとして未来を見据える。里山文化を継承させるために考案した「花のタルト」など、自然や和のハーブをリスペクトしたデザートにも理念を宿す。地方の可能性を銀座から発信。,104-0061,東京,東京,35.66852,139.761906,¥¥¥,イタリア料理
焼鳥 おみ乃／Yakitori Omino,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-omino,1つ星：高品質な料理,https://omakase.in/r/om522589?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,坊主頭にねじり鉢巻の職人達、熱のこもった焼鳥のもてなし。コースは満足のゆくまで焼き続けるストップ制。丸鶏を扱うため希少部位も存分に味わえる。注目すべきは紀州備長炭を用い、近火の強火で焼く技。だし醤油や油を塗り、燻香をまとわす。野菜も揃え串の種類は多い。好みは事前に伝えたい。,131-0045,東京,東京,35.709908,139.815922,¥¥¥,焼鳥
晴山／Seizan,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/seizan,2つ星：優れた料理,https://www.tablecheck.com/shops/seizan-mita/reserve?utm_source=michelin_guide,山本晴彦の二文字を逆さにした「晴山」。料理への考えと楽しませることを岐阜の師匠から学んだ。後進を育てることも然り。若い料理人達が笑顔で働く姿に気風が表れている。驚きのある品々を生み出しながらも、日本料理の華といわれる椀刺しには正統を心掛ける。どの品も見えない仕事が施されている。,108-0073,東京,東京,35.647433,139.739938,¥¥¥¥,日本料理
てんぷら 近藤／Tempura Kondo,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-kondo,2つ星：優れた料理,,半世紀もの職人歴を歩み、天ぷらの名を世界に知らしめた立役者。野菜を取り入れたのは、単なる和食の一つではなく、世界の料理として確立したかったから。揚げ物でありながら本質は蒸し物と説く。天種を衣で包み、油の熱と食材の水分で旨みを引き出す。焼き芋に勝る味を目指したさつま芋が代表作。,104-0061,東京,東京,35.671184,139.763104,¥¥¥,天ぷら
センス／Sense,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sense-1194023,,,マンダリンオリエンタル東京の上層階にある広東料理店。厨房チームは一丸となり本場の味を目指す。釜焼きチャーシュー、海鮮の豆鼓炒め、野菜の塩炒めなど、料理の仕立てはオーソドックス。東洋風のダイニングにはモダンな雰囲気が漂う。東京スカイツリーや都心を一望しながら優雅な時間を過ごしたい。,103-8328,東京,東京,35.68683,139.77299,¥¥¥,中国料理
江戸蕎麦 ほそ川／Edosoba Hosokawa,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edosoba-hosokawa,ビブグルマン：価格以上の満足感が得られる料理,,質の高い蕎麦を求め産地へ赴く。長年交流を深めてきた生産者の思いを胸に蕎麦を打つ。産地の異なる蕎麦を食べ比べ、風土がもたらす個性を味わう。春の「若竹」は、筍と若布に木の芽が香る。夏の「冷かき」は大振りな牡蠣が贅沢。季節の蕎麦を目的に訪れるのも楽しみ。風情ある店内や器も味わいの一つ。,130-0014,東京,東京,35.696701,139.798036,¥,蕎麦
壽修／Jushu,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jushu,1つ星：高品質な料理,https://omakaseje.com/r/bd545579?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,暖簾に羽ばたく佐賀県鳥のカササギ。白衣の左胸にも刺繍を施し故郷を明かす。地元から米、伊万里牛、柚子胡椒を取り寄せ、古伊万里や唐津の器も誇り。喰切り料理を旨とするのは大阪での経験から。食材を余すことなく、皆敷は使わない主義。定食のように焼物と一緒にご飯と汁を供し、自由な気風も表す。,106-0031,東京,東京,35.661832,139.720305,¥¥¥,日本料理
京橋 てんぷら 深町／Kyobashi Tempura Fukamachi,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kyobashi-tempura-fukamachi,1つ星：高品質な料理,https://omakaseje.com/restaurants/si733726?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,父と二人の息子による天ぷら。旬の魚介と走りの野菜を揃え、移り行く季節を天種で表現する。薄い衣をまとわせ太白胡麻油で揚げるのは食材を引き立たせるため。温度の異なる二つの鍋を使い分け、時には中温から高温に移す二度揚げも。磨いてきた職人技と経験を頼りに四季の味覚を届けてくれる。,104-0031,東京,東京,35.67649,139.77049,¥¥¥,天ぷら
鮨 桂太／Sushi Keita,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-keita,1つ星：高品質な料理,,昨今、鮪卸し業者の札をこれみよがしに見せるすし屋が増えた。青山桂太の思考はそれとは真逆。そう聞くと親近感が持てる方もいるだろう。すし屋は主人との相性も大切な要素。彼は気風も良く、握るすしも大振り。切り付ける種も魚の特徴を考え厚く広く酢飯を包み込むように握り、印象を与えてくれる。,104-0045,東京,東京,35.665416,139.773639,¥¥¥,寿司
エステール／ESTERRE,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/esterre,1つ星：高品質な料理,https://www.tablecheck.com/shops/palacehoteltokyo-esterre/reserve?utm_source=michelin_guide,緑豊かな皇居外苑、和田倉濠を望む優美なダイニング。料理界の歴史に名を刻むアラン・デュカスをパートナーに迎え、日本の四季と自然を表現する。デュカスの料理哲学を理解する小島景は、日仏の融合と健康的な美食を志す。旬の魚介、自ら鮮度を確かめる鎌倉野菜を使った料理は目も潤う美しさ。,100-0005,東京,東京,35.684502,139.76123,¥¥¥,フランス料理
懐石 大原／Kaiseki Ohara,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kaiseki-ohara,,,白衣姿の夫婦が迎えてくれる日本料理店。大原夫妻は調理の技術、もてなしの心得を茶懐石の店で学んだ。主人は華美に流れない料理に気を配り、女将は菓子作りと接客を担う。白身魚の造りに濃口と薄口の加減醤油、八寸に盛るのは種類豊富な山海の幸。飾らず、手間を惜しまず、素朴さの中に気持ちを込める。,160-0007,東京,東京,35.689047,139.721852,¥¥¥,日本料理
熟成鮨 万／Jukuseizushi Yorozu,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jukuseizushi-yorozu,1つ星：高品質な料理,https://omakase.in/r/xw287006?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,店内に漂う赤酢の香り。すし桶と杓文字を手にする白山洸が、主役は酢飯と言わんばかりに目の前で切る。熟成赤酢の酢飯に合わせるのは寝かせた魚。各々が持つ酵素で熟成させ、乾燥、塩漬を経て濃厚な味を生む。論文をもとに研究した旨味の成果。寝かせて魚を旨くする技が「鮨」という字を体現する。,150-0011,東京,東京,35.656408,139.713816,¥¥¥¥,寿司
銀座 とよだ／Ginza Toyoda,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-toyoda,1つ星：高品質な料理,https://omakaseje.com/r/sc954215?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,雨水とは降る雪が雨に変わる頃。蛤がはじまる季節でもある。太陽が真東から昇り真西に沈む春分。草木が芽吹き、冬の間に蓄えていた食材の息吹が表れる。筍と蛤の炊き合わせが味わえるのはその時期。青磁の器で若葉の到来を予感させ、蕗と木の芽を添える。料理で季節の移り変わりも楽しみたい。,104-0061,東京,東京,35.670061,139.76171,¥¥¥¥,日本料理
静流／Shizuru,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shizuru,,,白衣姿の夫婦がもてなす割烹店。共に京料理を学んだことから調理を分担する。主人は淡い味付けを身上とし、故郷山形の地酒を欠かさない。米は女将の実家から届く魚沼産コシヒカリ。羽釜で炊き、手間を惜しまずお櫃に移す。お香が焚かれた店内は和の風情に満ちあふれ、心地よいひとときが静かに流れる。,151-0063,東京,東京,35.669363,139.68909,¥¥,日本料理
ル・ブルギニオン／LE BOURGUIGNON,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-bourguignon,,https://www.tablecheck.com/shops/le-bourguignon/reserve?utm_source=michelin_guide,「ブルゴーニュ風」を意味する店名は、菊地美升シェフにとって最も思い出深い修業地だった。ブーダンノワールのテリーヌは長年磨きをかけてきたオードブル。ブッフブルギニオンと呼ばれる牛肉の赤ワイン煮込みは、シェフ懐かしの郷土料理。充実したブルゴーニュワインを目当てに訪れる愛好家も多い。,106-0031,東京,東京,35.658299,139.727402,¥¥¥,フランス料理
ル・キャバレ／Le cabaret,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-cabaret-1194236,ビブグルマン：価格以上の満足感が得られる料理,,店名は舞台などあるフランス酒場の意味。ギャルソンは気軽な曲を流し、普段着で客を迎え、自然体でサービス。料理は、伝統的なスタイルで一皿をシェアして味わう。自然派ワインをいち早く広めたここは、パリのカフェビストロ風。雰囲気はカフェ、料理はビストロ、楽しさのキャバレは今も昔も変わらない。,151-0062,東京,東京,35.670097,139.685344,¥¥,フランス料理
マ・キュイジーヌ／Ma Cuisine,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ma-cuisine-1194175,ビブグルマン：価格以上の満足感が得られる料理,https://omakaseje.com/r/cn185096?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,生産者と交流を深めるシェフの考えは食材ありき。各地から食材を集め、ラタトゥイユやブイヤベースといったビストロ料理に腕を振るう。充実したアラカルトは選ぶ楽しみがある。豚肉は各部位の特徴に合わせて調理。シャルキュトリをはじめ、バラ肉はプティサレ、スペアリブは香草パン粉焼にする。,106-0031,東京,東京,35.660937,139.7267,¥¥,フランス料理
天婦羅 みやしろ／Tempura Miyashiro,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-miyashiro,1つ星：高品質な料理,https://omakaseje.com/r/qf607417?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,工夫を凝らした天ぷらと料理が織り成すおまかせ。宮代直亮の組む献立には驚きと喜びがある。鮑は肝のつゆにくぐらせしゃぶしゃぶに。余ったつゆには天ぷらにしたご飯を入れおじやにする。締めはトマトの炊き込みご飯にかき揚げを合わせた天バラ。日本料理で学んだ技を生かして楽しませてくれる。,153-0051,東京,東京,35.641547,139.697277,¥¥¥¥,天ぷら
サンプリシテ／Simplicité,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/simplicite,1つ星：高品質な料理,https://www.tablecheck.com/shops/simplicite123/reserve?utm_source=michelin_guide,相原薫は湘南とブルターニュの経験から海をヒントに料理を編み出す。サバのハム、イワシのフロマージュドテットは、海のシャルキュトリ。魚によっては、数週間かけて熟成、旨みを引き出し、海藻のソースで磯の香りを漂わせる。海に囲まれた日本の地勢を生かした、魚介のフランス料理を味わいたい。,150-0021,東京,東京,35.649073,139.705412,¥¥¥,フランス料理
アルマーニ リストランテ／ARMANI / RISTORANTE,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/armani-ristorante-1195701,,https://omakaseje.com/restaurants/od188458?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,日伊の食文化を融合させたリストランテ。コンテンポラリーな空間でクリエイティブな料理が卓上を彩る。米の形のパスタと国産サフランのリゾットは豊かな感性を表現。現代の調理法を駆使したカルボナーラやティラミスなど、伝統を進化させる料理も興味深い。アルマーニに共通する洗練さも兼ね備えている。,104-0061,東京,東京,35.671589,139.763989,¥¥¥,"イタリア料理, 現代風料理"
薪焼 銀座おのでら／MAKIYAKI GINZA ONODERA,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/makiyaki-ginza-onodera,1つ星：高品質な料理,https://www.tablecheck.com/shops/steak-ginza-onodra/reserve?utm_source=michelin_guide,窯の中で揺らめく炎と、調理風景を臨むカウンターフレンチ。店内に薪焼の燻香が漂い、食欲をかきたてる。魚や野菜はシンプルに香ばしく炙り、肉はじっくり火を入れて旨みを逃さない。メインの後は、麺類や米料理を用意して満足度を高める。最後のデザートにも薪火を取り入れて印象を深めてくれる。,104-0061,東京,東京,35.668557,139.766796,¥¥¥¥,フランス料理
ル モンド グルマン／Le Monde Gourmand,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-monde-gourmand,ビブグルマン：価格以上の満足感が得られる料理,https://omakaseje.com/r/ok456758?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,熱心に料理を作るシェフと和やかにもてなすマダム。夫婦が作り出す温かく活気のある雰囲気に包まれる。 黒板にパテアンクルート、魚のパイ包み焼き、牛頬肉の赤ワイン煮込みなど、オーソドックスな料理が並ぶ。店名は“食いしん坊の世界”を意味する。古き良きビストロの世界を訪ねたい。,152-0034,東京,東京,35.608524,139.672178,¥¥,フランス料理
津の守坂 小柴／Tsunokamizaka Koshiba,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tsunokamizaka-koshiba,,https://www.tablecheck.com/shops/t-koshiba88/reserve?utm_source=michelin_guide,関西の流れを汲む親方に師事した主人。昆布を利かせただし、お凌ぎの鯖棒寿司に経験が表れる。献立に八寸を欠かさないのは、昔ながらの職人仕事を大切に、そして種類豊富な酒肴で喜ばせたいとの思いから。焼物とご飯物は、好みの料理を選べるように数種を用意。何よりも食べ手の満足感を優先している。,160-0007,東京,東京,35.691072,139.724738,¥¥¥,日本料理
時喰み／Tokihami,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tokihami,,,創作意欲にあふれる割烹居酒屋。多彩な品書きの中で和洋折衷の料理が目を引く。例えば山椒オイル煮は魚介と実山椒を煮込んだ和風アヒージョ。人気は珍味を贅沢に用いるフォワグラ最中やトリュフオムレツなど。「痛風飯」はイクラ、カラスミ、ウニ、キャビアが共演。豪華さに好奇心がそそられる。,104-0061,東京,東京,35.670853,139.768819,¥¥,居酒屋
レ・コパン ドゥ ドミニク・ブシェ／Les Copains de DOMINIQUE BOUCHET,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/les-copains-de-dominique-bouchet,ビブグルマン：価格以上の満足感が得られる料理,https://omakaseje.com/r/fs630636?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,ドミニク・ブシェが手掛けるビストロ。テーマはガストロノミーの要素を加えた“ビストロノミー”。定番のパテアンクルートやステックフリットはフランスの日常。オマール海老のマカロニはパリの美食家の心を掴んだスペシャリテ。大衆の料理から現代的な料理までフランス料理の奥深さを味わえる。,104-0061,東京,東京,35.671997,139.761755,¥¥,フランス料理
ラルジャン／L'ARGENT,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-argent,1つ星：高品質な料理,https://www.tablecheck.com/shops/largelt/reserve?utm_source=michelin_guide,パリとコペンハーゲンでの経験を生かし、日本の食材、フランスの古典、北欧の革新を重ねる。それを具現化したのが「発酵マッシュルーム」。地元静岡のマッシュルームを発酵させ、ポーチドエッグと合わせた。食後は親族が育てた掛川茶の小菓子。創造性に富むモダンフレンチに、自身のルーツを織り込む。,100-0013,東京,東京,35.670573,139.746524,¥¥¥,フランス料理
